2026-02-08 17:52:43,556 | INFO | advanced | Advanced analysis started
2026-02-08 17:52:43,557 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.557049", "level": "INFO", "event_type": "pipeline_start", "message": "Starting advanced TMDB analysis"}
2026-02-08 17:52:43,559 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.559531", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI", "total_rows": 18}
2026-02-08 17:52:43,559 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.559756", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_revenue", "metric": "revenue_musd"}
2026-02-08 17:52:43,562 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.562693", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 17:52:43,563 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.563315", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_budget", "metric": "budget_musd"}
2026-02-08 17:52:43,565 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.565294", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 17:52:43,565 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.565469", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_profit", "metric": "profit"}
2026-02-08 17:52:43,567 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.567097", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 17:52:43,567 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.567261", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_profit", "metric": "profit"}
2026-02-08 17:52:43,569 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.569043", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 17:52:43,569 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.569219", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_roi", "metric": "roi"}
2026-02-08 17:52:43,570 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.570935", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 17:52:43,571 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.571098", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_roi", "metric": "roi"}
2026-02-08 17:52:43,572 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.572694", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 17:52:43,572 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.572862", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_voted", "metric": "vote_count"}
2026-02-08 17:52:43,574 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.574469", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 17:52:43,574 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.574630", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_rated", "metric": "vote_average"}
2026-02-08 17:52:43,577 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.577765", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 17:52:43,578 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.578186", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_rated", "metric": "vote_average"}
2026-02-08 17:52:43,581 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.581127", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 17:52:43,581 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.581337", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_popular", "metric": "popularity"}
2026-02-08 17:52:43,583 | INFO | advanced | {"timestamp": "2026-02-08T17:52:43.583553", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
