2026-02-08 17:52:43,529 | INFO | kpi | KPI computation started
2026-02-08 17:52:43,530 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.530068", "level": "INFO", "event_type": "pipeline_start", "message": "Starting KPI computation"}
2026-02-08 17:52:43,532 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.532481", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI columns", "total_rows": 18}
2026-02-08 17:52:43,532 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.532675", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_revenue", "metric_column": "revenue_musd"}
2026-02-08 17:52:43,535 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.534995", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 17:52:43,535 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.535487", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_budget", "metric_column": "budget_musd"}
2026-02-08 17:52:43,537 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.537684", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 17:52:43,537 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.537874", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_profit", "metric_column": "profit"}
2026-02-08 17:52:43,539 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.539848", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 17:52:43,540 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.540042", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_profit", "metric_column": "profit"}
2026-02-08 17:52:43,542 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.542433", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 17:52:43,542 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.542648", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_roi", "metric_column": "roi"}
2026-02-08 17:52:43,545 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.545536", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 17:52:43,545 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.545869", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_roi", "metric_column": "roi"}
2026-02-08 17:52:43,547 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.547862", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 17:52:43,548 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.548043", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_voted", "metric_column": "vote_count"}
2026-02-08 17:52:43,549 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.549808", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 17:52:43,549 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.549947", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_rated", "metric_column": "vote_average"}
2026-02-08 17:52:43,552 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.552085", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 17:52:43,552 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.552230", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_rated", "metric_column": "vote_average"}
2026-02-08 17:52:43,554 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.554471", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 17:52:43,554 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.554653", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_popular", "metric_column": "popularity"}
2026-02-08 17:52:43,556 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.556400", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
2026-02-08 17:52:43,556 | INFO | kpi | {"timestamp": "2026-02-08T17:52:43.556563", "level": "INFO", "event_type": "pipeline_complete", "message": "KPI computation completed"}
2026-02-08 17:52:43,556 | INFO | kpi | KPI computation completed
2026-02-08 17:57:22,797 | INFO | kpi | KPI computation started
2026-02-08 17:57:22,798 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.798009", "level": "INFO", "event_type": "pipeline_start", "message": "Starting KPI computation"}
2026-02-08 17:57:22,799 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.799377", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI columns", "total_rows": 18}
2026-02-08 17:57:22,799 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.799549", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_revenue", "metric_column": "revenue_musd"}
2026-02-08 17:57:22,801 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.801035", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 17:57:22,801 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.801159", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_budget", "metric_column": "budget_musd"}
2026-02-08 17:57:22,802 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.802291", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 17:57:22,802 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.802402", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_profit", "metric_column": "profit"}
2026-02-08 17:57:22,803 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.803467", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 17:57:22,803 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.803573", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_profit", "metric_column": "profit"}
2026-02-08 17:57:22,804 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.804589", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 17:57:22,804 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.804748", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_roi", "metric_column": "roi"}
2026-02-08 17:57:22,805 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.805829", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 17:57:22,805 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.805939", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_roi", "metric_column": "roi"}
2026-02-08 17:57:22,806 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.806935", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 17:57:22,807 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.807057", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_voted", "metric_column": "vote_count"}
2026-02-08 17:57:22,808 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.808125", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 17:57:22,808 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.808232", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_rated", "metric_column": "vote_average"}
2026-02-08 17:57:22,809 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.809609", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 17:57:22,809 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.809754", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_rated", "metric_column": "vote_average"}
2026-02-08 17:57:22,811 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.811611", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 17:57:22,811 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.811797", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_popular", "metric_column": "popularity"}
2026-02-08 17:57:22,813 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.813407", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
2026-02-08 17:57:22,813 | INFO | kpi | {"timestamp": "2026-02-08T17:57:22.813553", "level": "INFO", "event_type": "pipeline_complete", "message": "KPI computation completed"}
2026-02-08 17:57:22,813 | INFO | kpi | KPI computation completed
2026-02-08 18:01:49,894 | INFO | kpi | KPI computation started
2026-02-08 18:01:49,894 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.894922", "level": "INFO", "event_type": "pipeline_start", "message": "Starting KPI computation"}
2026-02-08 18:01:49,896 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.896234", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI columns", "total_rows": 18}
2026-02-08 18:01:49,896 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.896355", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_revenue", "metric_column": "revenue_musd"}
2026-02-08 18:01:49,897 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.897688", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 18:01:49,897 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.897847", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_budget", "metric_column": "budget_musd"}
2026-02-08 18:01:49,898 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.898958", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 18:01:49,899 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.899065", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_profit", "metric_column": "profit"}
2026-02-08 18:01:49,900 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.900160", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 18:01:49,900 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.900271", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_profit", "metric_column": "profit"}
2026-02-08 18:01:49,901 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.901313", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 18:01:49,901 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.901423", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_roi", "metric_column": "roi"}
2026-02-08 18:01:49,902 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.902450", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 18:01:49,902 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.902555", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_roi", "metric_column": "roi"}
2026-02-08 18:01:49,903 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.903732", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 18:01:49,904 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.903922", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_voted", "metric_column": "vote_count"}
2026-02-08 18:01:49,906 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.906787", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 18:01:49,906 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.906910", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_rated", "metric_column": "vote_average"}
2026-02-08 18:01:49,908 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.908059", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 18:01:49,908 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.908177", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_rated", "metric_column": "vote_average"}
2026-02-08 18:01:49,909 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.909616", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 18:01:49,909 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.909768", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_popular", "metric_column": "popularity"}
2026-02-08 18:01:49,910 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.910771", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
2026-02-08 18:01:49,910 | INFO | kpi | {"timestamp": "2026-02-08T18:01:49.910872", "level": "INFO", "event_type": "pipeline_complete", "message": "KPI computation completed"}
2026-02-08 18:01:49,911 | INFO | kpi | KPI computation completed
2026-02-08 18:12:42,219 | INFO | kpi | KPI computation started
2026-02-08 18:12:42,219 | INFO | kpi | {"timestamp": "2026-02-08T18:12:42.219805", "level": "INFO", "event_type": "pipeline_start", "message": "Starting KPI computation"}
2026-02-08 18:12:42,221 | INFO | kpi | {"timestamp": "2026-02-08T18:12:42.220968", "level": "INFO", "event_type": "feature_engineering", "message": "Computed profit and ROI columns", "total_rows": 18}
2026-02-08 18:12:42,221 | INFO | kpi | {"timestamp": "2026-02-08T18:12:42.221076", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_revenue", "metric_column": "revenue_musd"}
2026-02-08 18:12:42,222 | INFO | kpi | {"timestamp": "2026-02-08T18:12:42.222307", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 18:12:42,222 | INFO | kpi | {"timestamp": "2026-02-08T18:12:42.222412", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_budget", "metric_column": "budget_musd"}
